questionText,questionType,answerText,answerType,answerHelpfulness,Helpfulness_Target
Can you use this with Munchkin Deluxe or does Munchkin Deluxe replace this?,descriptive,"This is the same as Munchkin Deluxe, except the Deluxe version has a board with totem pieces to track points. The core game (cards) are in both versions and is the same.",NA,"[5, 5]",1
"When we opened it at Christmas, there was no board, just cards.  Should there be a board?",descriptive,"No, the board comes with the Deluxe version. It's used to help keep track of your points. In the regular version (this one), you can keep track using pen and paper.",NA,"[2, 2]",1
"When we opened it at Christmas, there was no board, just cards.  Should there be a board?",descriptive,"No, this version doesn't, the deluxe version has a board. A board is not needed to play the game.",NA,"[2, 2]",1
what age group is this appropriate for?,descriptive,I bought this as a gift for my son-in-law who is 33.  After having played it with his family once I would think that it would be appropriate for teenagers and up.,NA,"[2, 2]",1
what age group is this appropriate for?,descriptive,"I would say this is appropriate for teenagers and older. The premise is to kill monsters and equip things like the ""Chainsaw of Bloody Dismemberment."" Probably not a game for your kids.",NA,"[2, 2]",1
what age group is this appropriate for?,descriptive,I would rate this for Teens.,NA,"[2, 2]",1
what age group is this appropriate for?,descriptive,"NONE!! Unless you want to promote Killing, Sex Changes, Treachery, Violence, Backstabbing, Cheating, Sexual promiscuity and Death. Because that is what the game revolved around.",NA,"[1, 10]",0
Any reason these are selling right now at $2 higher than listed retail? $2.99 is msrp.,descriptive,"Hello Andrew,We are currently selling these sleeves for $2.79 per pack. If I can be of further assistance, please let me know and have a great day!Regards,Trevor ParrNoble Knight Games",NA,"[1, 4]",0
Any reason these are selling right now at $2 higher than listed retail? $2.99 is msrp.,descriptive,"Umm, Trevor Parr at Noble Knight Games. How is  selling the sleeves for $2.79+ $2.95 shipping $2.79? 2.79 + 2.95 =  $5.74 Stop insulting our intelligence.",NA,"[0, 4]",0
Are they clear on both sides or one side is frosted?,descriptive,They are clear on both sides. I use these pretty regularly.,NA,"[2, 2]",1
Are they clear on both sides or one side is frosted?,descriptive,"Clear on both sides. Great for personal play, not acceptable for tournament play (for fear of card marking)",NA,"[2, 2]",1
Are they clear on both sides or one side is frosted?,descriptive,Clear on both sides,NA,"[2, 2]",1
Are they clear on both sides or one side is frosted?,descriptive,"clear on both sides, with no holographic sticker like Ultra Pro sleeves.",NA,"[2, 2]",1
how is it different from the original fluxx? is it worth getting if i have the first version?,descriptive,"The only difference is a few extra cards, it's just the newest version of the original. If you were thinking about getting a new fluxx game i would suggest getting one of the specialty games like pirate fluxx or Monty Python fluxx. That way you could play them separately or mix the decks together.",NA,"[3, 3]",1
how is it different from the original fluxx? is it worth getting if i have the first version?,descriptive,"This is pretty similar to the original, however this version does have the extra ""space/star"" theme which comes in a handful of cards. I would say as someone else pointed out, some of the keepers, such as war and taxes, are now called Creepers and can prevent you from winning the game unless there is a rule card in play that allows the creeper to be used towards winning the goal. There are a few other cards such as a ""Double Agenda"" card that changes  up the way you play. Overall, if you have the original Fluxx, I would recommend getting any of the themed specialty ones that really tends to creative new dynamics to the game. The Star Trek themed fluxx is a good one that involves character play and even special ""powers."" And as always,  you can mix the original fluxx with any of the other versions for double the fun, though it might get extraordinarily confusing.",NA,"[3, 3]",1
how is it different from the original fluxx? is it worth getting if i have the first version?,descriptive,"Not really worth it if you have the original.  As I recall, it has a few different/new cards.We lost our original deck, so had to get the new one!",NA,"[2, 2]",1
